Nome,Volume,Num Pagina,Numeração,Categ_atrativo,N° da Subcategoria,N° de Entrada,Categoria,Subcategoria,Localização,Bairro/Colônia,CEP,GPS,Descrição,Descrição2,Área,Celular/Whatsapp,Telefone Fixo/whatsapp,Tombado,Proprietário/Responsável,email,Midias Sociais,website,Reserva,Horário,"Observações, Serviços e Equipamentos",Acessibilidade,Como chegar,Destaque,Data de inauguração,Estacionamento,Capacidade máxima,Restrições,Especialidade,Receitas autorais,Cadastur,N° de Leitos solteiros,N° de Leitos casais,N° de unidades habitacionais,Autoria
Paço Municipal - Memorial Casarão,Volume I,93,50,2,2,21,Atrativos Histórico-Culturais,Arquitetura e Engenharia,"Rua Passos de Oliveira, 1101",Centro,83030-720,"-25.53420572742367, -49.207060151927585","Inaugurado  em 2014, compreende uma área de 582,40 m² formada por uma parede construída nas mesmas dimensões da parede da fachada frontal do antigo Casarão Massaneiro, paisagismo com  calçamento em paver e iluminação.","O  casarão  centenário abrigava o gabinete do prefeito e vice-prefeito da cidade.  Um pináculo da fachada original  foi usado como molde para a reprodução dos outros 4 na  réplica da parede original, mantendo a arquitetura neoclássica italiana.",Urbana,,,Sim,-,-,-,-,-,Área externa: livre; Área interna: Seg à Sex: 08:00h às 17:00h,"A construção foi fruto de um termo de ajuste e conduta firmado entre Prefeitura de São José dos Pinhais, Ministério Público e Conselho Municipal do Patrimônio Cultural, decorrente da ação movida contra o município pela  demolição do casarão Massaneiro.",-,"4,5 Km até  o aeroporto; encontra-se no centro; 2 Km da Av. das Torres/BR 376","Na década de 40, a casa foi comprada pela Congregação de São José servindo de retiro para freiras.   Em 1980 foi adquirido pela Prefeitura.",2014,Sim,-,Visitas à parte interna durante o horário de funcionamento da Prefeitura,Arquitetura italinana neoclássica,-,Não,,,,
Palacete Ordine,Volume I,94,51,2,2,22,Atrativos Histórico-Culturais,Arquitetura e Engenharia,Rua XV de novembro 1660,Centro,83005-000,"-25.53747009378767, -49.202398345541525","É uma construção de 1910 erguida pelo empresário Luis Vitorine Ondine para ser a residência de sua família. Possui um jardim lateral utilizado como ponto de encontro e descanso na  região central, no calçadão da cidade.","Foi vendido ao governo  local em 1920, vindo a ser ocupado para diferentes finalidades. Em 1981  foi reformado para  sediar o atual  museu municipal.",Urbana,,,Sim,,museu.municipal@sjp.pr.gov.br,-,www.museu.sjp.pr.gov.br,-,De acordo com o funcionamento do Museu Atílio Rocco,-,-,"4 Km até o aeroporto; encontra-se no centro; 1 Km até a BR 376 e 4, 5 Km até a BR 116.",Arquitetura eclética,1910,Estacionamento nas ruas laterais,-,-,Arquitetura Eclética,-,Não,,,,
Ponte Pensil do Rio São João,Volume I,95,52,2,2,23,Atrativos Histórico-Culturais,Arquitetura e Engenharia,"Estrada do Potreiro, sobre o Rio São João",Colônia Castelhanos,,"-25.819691514287328, -48.89302654741963",Ponte sustentada por cabos de aço  construída em 1980  liga  a Estrada de Potreiros à região Sul da Colônia Castelhanos. Possui uma extensão de cinquenta metros. E bastante utilizada pelos moradores da região e apreciada por turistas como cenário para fotos.,-,Rural,,,Não,-,-,-,-,-,-,-,Não,75 Km até o aeroporto;  74 Km até o centro; 16 Km até a BR 376,,1980,"Sim, na estrada de terra.",-,-,-,-,Não,,,,
Teatro-Cinema Municipal Ernani Zetola,Volume I,96,53,2,2,24,Atrativos Histórico-Culturais,Arquitetura e Engenharia,"Rua XV de Novembro, 1800",Centro,83005-970,"-25.53780090418145, -49.20130554503052","O prédio faz parte do complexo do  Centro de Vivência Cultural. Tem como objetivo promover  e incentivar a cultura local, oferecendo rica programação cultural envolvendo cinema, teatro e música.",Possui uma sala de cinema com 105 lugares inaugurada em 2024 que oferece sessões especiais para o público e um cineclube.O espaço promove diversas atrações culturais gratuitas abertas ao público.,Urbana,,(41) 3381-5901,,,-,-,-,-,,,,4 Km até o aeroporto; encontra-se no centro; 1 Km até BR 376,,1904,Nas ruas laterais,,,,,Não,,,,
Represa do Rio Miringuava,Volume I,97,54,2,2,25,Atrativos Histórico-Culturais,Arquitetura e Engenharia,"Área rural, ao nordeste da Colônia Malhada",,,"-25.642661173110234, -49.073544929078246","Será o sexto reservatório a ser utilizado para o abastecimento público da Região Metropolitana de Curitiba possuindo  área alagada de 4,3 milhões m², a barragem visa proporcionar segurança hídrica e também beneficiará as atividades agrícolas desenvolvidas na região, pois garantirá a vazão regularizada do canal principal do Rio Miringuava.",Sua construção também reduzirá as áreas de alagamento dos rios Miringuava e Iguaçu durante os períodos de cheias. A Sanepar passará a tratar 2 mil litros de água por segundo.,Rural,,,Não,,,,,,,"A barragem está projetada com uma altura de 24 metros, equivalente a um prédio de oito andares. O volume total de água do reservatório é de 38 bilhões de litros,  equivalente a 15.282 piscinas olímpicas. O maciço da barragem terã 309 metros de extensão.",-,22 Km até o aeroporto; 22 Km até o centro; 11 Km até a BR 376;,,-,Nas ruas laterais,38 bilhões de litros,A barragem está em construção durante a realização deste inventário.,-,-,Não,,,,
Represa e Usina Hidrelétrica Guaricana,Volume I,98,55,2,2,26,Atrativos Histórico-Culturais,Arquitetura e Engenharia,Acesso pela BR 376. Seguir a Estrada Velha do Guaricana até o Rio Arraial. Seguir 800m  após  a prainha do rio.,Colônia Castelhanos,,"-25.726436718980437, -48.94897355048658","A usina encontra-se encravada na Serra do Mar, no meio da Mata Atlântica, a aproximadamente 80 km de Curitiba. Foi construída pelo engenheiro inglês Howell Lewis Fry e inaugurada em 1957 pelo presidente Juscelino Kubitschek. Pertenceu à antiga Companhia Força e Luz do Paraná (CFLP), e sua inauguração impulsionou um extraordinário desenvolvimento tanto na capital quanto na região do entorno.","Em 1976, a Companhia Força e Luz foi incorporada pela Companhia Paranaense de Energia Elétrica (COPEL), que é a atual concessionária da Usina Hidrelétrica Guaricana. A usina possui quatro geradores com potência nominal total de 30 mil kW, produzindo 39.000 kW (39 MW) de energia elétrica, gerados a partir do aproveitamento das águas do Rio Arraial. Seu reservatório possui um volume útil de 5 milhões de m³, e a barragem tem 29,5 m de altura e 95 m de comprimento.",Rural,,,-,,comunicacao.get@copel.com,,,,De acordo com o agendamento.,"A usina possui um Programa de Gerenciamento de Áreas de Proteção Permanente (APPs), Plano de Gerenciamento de Resíduos Sólidos (PGRS), com monitoramento contínuo dos efluentes gerados  e seus resíduos recicláveis são destinados a associações de catadores.",,57 Km do aeroporto; 56 Km do centro;  34 Km até a BR 376,,1957,Sim,39 MW,Visitas a usina somente com autorização do proprietário.,Geração de Energia,-,Não,,,,
Represa do Rio São João,Volume I,99,56,2,2,27,Atrativos Histórico-Culturais,Arquitetura e Engenharia,Queda d´água formada pelo barramento do Rio São João.,Colônia Castelhanos,,"-25.807082557955518, -48.99174631172475",Está localizada em área de preservação permanente na Serra do Mar. Construída represendo o rio São João para alimentar as turbinas da Usina Hidroelétrica da Chaminé.,"É a mais antiga usina do sistema Copel em funcionamento desde de março de 1931. Produz 8.000 KW (18 MW) de energia elétrica, integrando o sistema energético do sul e centro-sul do Brasil.  Está localizada  no rio São João e é abastecida pela Represa de Vossoroca.",Rural,,,Não,-,-,-,-,-,-,-,-,"51 Km até o Aeroporto; 55Km do centro;  27,4 Km até a  BR 376",-,-,-,-,-,-,-,Não,-,-,-,
Usina Hidrelétrica da Chaminé,Volume I,100,57,2,2,28,Atrativos Histórico-Culturais,Arquitetura e Engenharia,"Próximo à divisa com o município de  Tijucas do Sul, na Serra da Mar.",Colônia Castelhanos,,"-25.817208617419425, -48.976146655093444","Está localizada em área de preservação permanente na Serra do Mar, na  margem esquerda do Rio São João. Construída pela Cia. Força e Luz do Paraná sob a supervisão do engenheiro americano Howell Lewis Fry. 
Usina de energia hidrelétrica da Copel, encravada no meio da mata atlântica, numa área de solo frágil e pouco propício ao uso agropecuário. Definida constitucionalmente como patrimônio nacional. Alimentada pela Represa de Guaricana, foi construída em 1957.",Iniciou suas operações em 1930. Foi incoporada pela Copel  em 1975 e amplamente reformada em 2023 para extensão de sua vida útil. Oferece passeio de bondinho com agendamento prévio.,Rural ,,,-,Copel,comunicacao.get@copel.com,,https://www.copel.com/site/copel-geracao/usinas/usina-chamine/,Visitas somente com agendamento com a Copel,De acordo com o agendamento feito pela Copel.,"O passeio entre a vila residencial e a casa de força é  realizado por um bondinho (trole) que está em atividade desde 1928. O percurso  possui mais e de 600 metros percorrido em cerca de 10 minutos vencendo  declives de até 55 graus em aproximadamente.
Produz 18 MW de energia elétrica.",-,"54 Km até o aeroporto; 53 Km até o centro, 29 Km até a BR 376",Foi o primeiro grande projeto hidrelétrico do Paraná e teve papel fundamental no desenvolvimento econômico e social de Curitiba.,1930,Sim,,Visitas somente com agendamento prévio,,,Não,,,,
,Volume I,101,,,,,,Arte e Artesanato,,,,,,,,,,,,,,,,,,,,,,,,,,,Não,,,,
Casa Rosa,Volume I,102,58,2,3,1,Atrativos Histórico-Culturais,Arte e Artesanato,"R. Júlio César Setenareski, 190, próximo ao portal do Caminho do Vinho",Colônia Murici,83085-290,"-25.572017632502643, -49.146309752440004","Localizado em uma casa  de arquitetura típica da colônia Murici/Caminho do Vinho, o espaço é mantido  pela Associação dos Artesãos de São José dos Pinhais – Associarte.","O local reúne artesanatos feitos com materiais como biscuit, pinhão, tecido, pinturas e colagen feitos pelos artistas locais. São encontrados produtos de  utilidades domésticas, artigos de decoração, confecções, objetos de madeira, dentre outros.",Rural,(41)9 9897-7653,(41) 3383-7528,Não,-,-,,www.caminhodovinho.tur.br/casa-do-artesanato/,-,"Sab, Dom e Feriados: 11:00h às 19:00h; Fechado durante a semana.",,-,7 Km até o aeroporto; 10 Km do centro; 2 Km até a BR 116/Contorno Leste,-,"19,5",Estacionamento na frente.,-,Abre somente nos finais de semana e nos feriados. ,Artesanato,-,Não,-,-,-,-
Estátua de São José,Volume I,103,59,2,3,2,Atrativos Histórico-Culturais,Arte e Artesanato,Rua Mendes Leitosa esquina com  Rua Margarida de Araújo Franco,Aristrocrata,,"-25.542834287662405, -49.207460719453216",A estátua de São José com o Menino Jesus no cólo está  estrategicamente na esquina de uma propriedade particular. É uma estátua bem conservada. Pode ser apreciada da Rua.,-,Urbana,,,-,-,-,-,-,-,-,-,-,"4,5 Km até o aeroporto; 1,5 Km até o centro;  2 Km até BR 376",-,-,Há lugares para estacionar nas ruas laterais.,-,Está em propriedade particular. Pode ser contemplada da rua.,-,-,Não,,,,
Imagem da Virgem de Fátima,Volume I,104,60,2,3,3,Atrativos Histórico-Culturais,Arte e Artesanato,"Praça Constantino Zaniollo, entre a rua Zacarias Alves Pereira e Rua Padre Bitencourt",Centro,,"-25.538975235997572, -49.21132699010471","A imagem de Nossa Senhora de Fátima está localizada na Praça Constantino Ângelo Zaniolo. A imagem foi trazida por freiras portuguesas, provenientes da cidade de Fátima, em Portugal. A “Praça da Santa”, como é conhecida, tornou-se um ponto de referência e devoção para moradores e visitantes.","A região onde se localiza a praça era o local de antigas moradias da Chácara Zaniolo, pertencente ao Sr. José Zaniolo. A imagem e a praça foram cedidas à Prefeitura pelas irmãs Zaniolo, netas e herdeiras de parte das terras do Sr. Zaniolo, criando um espaço que proporcionasse encontros mensais de fiéis para orações e novenas.",Urbana,,,Não,Prefeitura,-,-,-,-,-,-,-,5 Km até o aeroporto; encontra-se no centro; 3 Km até a BR 376,,,Nas ruas laterais.,-,-,Turismo religioso,-,Não,,,,
Imagem N. Sra. de Lourdes,Volume I,105,61,2,3,4,Atrativos Histórico-Culturais,Arte e Artesanato,R. Dr. Murici esquina com R. Emerson Greboge,Colônia Murici,83015-290,"-25.589480361649883, -49.12368665968198","A Imagem de Nossa Senhora de Lourdes  é mais conhecida como a ""Santa da Colônia Murici"", é um ponto de manifestação religiosa e também de encontro entre visitantes da colônia, principalmente de ciclistas.",,Rural,,,-,-,-,-,-,-,-,-,-,11 Km até o aeroporto; 10 Km até o centro; 5 Km até a BR 116,,,Nas ruas laterais,,-,Turismo religioso,-,Não,,,,
Hafty- Bordados Poloneses,Volume I,106,62,2,3,5,Atrativos Histórico-Culturais,Arte e Artesanato,Colônia Murici e em lojas que vendam bordados poloneses,,,"-25.573305487065337, -49.146828283506274","Os bordados poloneses utilizam diversos pontos, como o ponto cheio, o ponto cruz e o vagonite, que consiste na técnica de criar desenhos geométricos ou padrões repetitivos com pontos retos, geralmente longos e paralelos. Os motivos mais comuns são florais, aves, animais e elementos da natureza.","Tradicionalmente, nas colônias, as mulheres bordavam à mão peças como toalhas de mesa, roupas de cama, toalhas de mão, panos de copa, tapeçarias, lenços de cabeça e lenços de bolso. Esses bordados também se destacam nos trajes dos grupos folclóricos, sendo distintos para cada região da Polônia.", -,,,,,,,,,,,,,,,,,,,,Não,,,,
Monumento do Divino Semeador,Volume I,107,63,2,3,6,Atrativos Histórico-Culturais,Arte e Artesanato,"Rua Dr. Murici, ao lado da Igreja Colônia Murici - Paróquia Sagrado Coração de Jesus  e em frente ao Colégio Estadual",Colônia Murici,,"-25.593451927011127, -49.126968632843834",Monumento em concreto com a estátua de Jesus semeador. O monumento foi erigido em 1928 para lembrar aos colonos da missão do lavrador.,,Rural,,,Não,-,-,-,-,-,-,-,-,11 Km até o aeroporto; 10 Km até  centro; 7 Km da BR 116 e 376,-,1928,Sim,-,-,Turismo religioso,-,Não,,,,
"Mural ""A Viagem""",Volume I,108,64,2,3,7,Atrativos Histórico-Culturais,Arte e Artesanato,Aeroporto Internacional Afonso Pena - área externa.,Área Institucional Aeroportuária,83010-620,"-25.517563202435404, -49.17263155354972","Esta obra do muralista paranaense Napoleon Potyguara Lazzarotto, conhecido como Poty Lazzarotto, é um grande mural feito em azulejos pintados que explora o tema das viagens e a experiência de viajar. Poty é conhecido por sua habilidade em contar histórias através de suas obras. O painel é uma obra figurativa que combina elementos da natureza, simbolismos e a interação humana com lugares.","Os países são representados por suas características gerais, como personagens e pontos turísticos. A obra também faz referência a viagens em outros períodos da história e através de outros meios de transporte, através da pintura de uma caravela, do trenó, um dirigível, dentre outros.",Urbana,,,Não,-,-,-,-,-,-,-,Sim,"Encontra-se no aeroporto; 4 Km até o centro;  5,5 Km até a BR 116; 2 Km até a BR 376",,,,,,,,Não,,,,Poty
"Mural ""O Eterno Sonho""",Volume I,109,65,2,3,8,Atrativos Histórico-Culturais,Arte e Artesanato,Sala de desembarque do aeroporto - Aerporto Internacional de São José dos Pinhais -,Área Institucional Aeroportuária,83010-620,"-25.5351733823043, -49.17477875015617","O painel de Napoleon Potyguara Lazzarotto, conhecido como Poty Lazzarotto, é um grande mural feito em azulejos pintados que representa o eterno sonho humano de voar. Está localizado na área de desembarque do aeroporto, à direita. O painel retrata o voo dos pássaros, a lenda de Ícaro, o trabalho de Leonardo da Vinci, Santos Dumont com o 14 BIS, um menino empinando uma pipa e um homem alcançando a lua.",,Urbana,,,-,-,-,-,-,-,-,-,Sim,"Encontra-se no aeroporto; 4 Km até o centro;  5,5 Km até a BR 116; 2 Km até a BR 376",-,,,,,,,Não,,,,
Mural Cerâmico Paisagem Urbana 1900,Volume I,111,67,2,3,10,Atrativos Histórico-Culturais,Arte e Artesanato,"Praça 8 de Janeiro, ao lado da Igreja Matriz de São José dos Pinhais",Centro,,"-25.536251162016704, -49.204867211376545","O painel retrata a cidade de São José dos Pinhais  no início do século XX. Nota-se  a importância do espaço da catedral para as atividades sociais do período, com destaque para o  comércio e o encontro das pessoas.",,Urbana,,,,,-,-,-,-,-,-,-,5 Km até o aeroporto;  encontra-se no centro; 5 Km até a BR 376,,,,,,,,Não,,,,
Obelisco do Centenário do Município,Volume I,112,68,2,3,11,Atrativos Histórico-Culturais,Arte e Artesanato,"Praça 8 de Janeiro, entre a catedral de São José dos Pinhais e a Biblioteca Municipal Schaffemberg de Quadros.",Centro,,"-25.535963486813657, -49.20522486193384","É um marco histórico erguido em 1953, em comemoração aos 100 anos da instalação oficial do município, que ocorreu em 1853. Marca também o centro cívico do município.","Arquitetonicamente, o obelisco segue um estilo simplificado e geométrico, comum em monumentos comemorativos da época, simbolizando estabilidade, progresso e continuidade.",Urbana,,,Não,,,,,,,,,"4,5 Km até o aeroporto; encontra-se no centro; 5 Km até a BR 376",,1953,,,,,,Não,,,,
Obras do Roney Erthal ,Volume I,113,69,2,3,12,Atrativos Histórico-Culturais,Arte e Artesanato,* Ver tabela Obras do Roney Erthal,,,,"Roney Erthal é o artista mais expressivo de São José  artista  plástico são-joseense e também escultor e muralista. Suas obras estão espalhadas pela cidade em  espaços públicos e privados. Participou de mais de 300 exposições individuais e mais de 300 coletivas. Possui mais de 1000 citações em Jornais, 12 citações em livros e inúmeras citações em revistas especializadas. Cidadão honorário de São José dos Pinhais. Homenageado com o Título de Personalidade Empreendedora do Paraná pela Assembleia Legislativa do Paraná – 2006, 2007 e 2008.

.","100 murais públicos distribuídos nas cidades de São José dos Pinhais, Curitiba, Quitandinha, Araucária, Campo Mourão e Jacarezinho, no estado do Paraná, e em Montemor-o-Velho em Coimbra, Portugal:
300 quadros em acervos (acrílico sobre tela):
92 esculturas  e 260 min-esculturas  em pedra sabão;
370 mini-esculturas em bronze;
2.000 mini-azulejos pintados – Curitiba, Polônia, China, Itália e Portugal;
14 cartões de Natal para o Museu Atílio Rocco
1 logotipo comemorativo criado para a agência dos correios
30 quadros  na Polônia – nas regiões de Czestochowa, Crakovia, Koninm Keilce, Poznan, Wroclaw e Gliwice.
8 quadros em Montemor-o-Velho, Coimbra. Portugal;
2 quadros em  Tiangin e Zibo, China
2 quadros no Chile;
1 quadro em São Lourenço, MG – Museu OAB
4 esculturas em pedra-sabão em Montemor-o-Velho, Coimbra, Portugal;
4 min-esculturas em pedra-sabão em Poznan - Polônia",Urbana,,,-,-,,,-,-,-,,Sim,Encontra-se em diversos pontos da cidade.,Conhecido como o Poty de São José dos Pinhais,,,,,,,Não,,,,
Pêssanckas - Ovos pintados,Volume I,114,70,2,3,13,Atrativos Histórico-Culturais,Arte e Artesanato,Colonia Marcelino. Na loja do artesanato Ucraniano.,-,-,-,"A pêssanka é uma arte milenar de pintura de ovos, típica da cultura ucraniana. O processo utiliza cera de abelha, cores vibrantes e símbolos tradicionais, transformando a casca de um ovo em uma obra de arte. 
A palavra ""pêssanka"" vem do verbo ucraniano ""pysaty"", que significa ""escrever"". Para criar a pêssanka, o ovo é cuidadosamente esvaziado, higienizado e seco. Primeiro, são feitos traços finos com lápis, seguindo um planejamento prévio. Depois, com um instrumento chamado ""kistka"", a cera de abelha é aplicada sobre os desenhos. A simbologia das cores e padrões é uma parte essencial dessa tradição.","A pintura é realizada em várias etapas: a cera cobre as áreas a serem protegidas, inclusive o furo do ovo, e o ovo é imerso em tinta, sempre começando pelas cores mais claras. O processo é repetido várias vezes, de acordo com o efeito desejado. Ao final, o ovo é aquecido para derreter a cera que é imediatamente limpa com a ajuda de um papel, revelando o desenho. Antigamente, os ovos eram pintados e oferecidos aos deuses nas festas para fertilidade. Com a cristianização da Ucrânia, a prática foi incorporada como símbolo de renascimento. Tradicionalmente, os ovos são pintados pelas famílias e grupos de amigos de todas as idades na última semana da quaresma e oferecidos como presentes na Páscoa.", -,,,Pela Unesco,-,-,-,-,-,-,"Durante o regime comunista, a produção de pêssankas foi proibida, mas continuou a ser feita em áreas afastadas das grandes cidades. Após a independência da Ucrânia em 1991, muitos ucranianos e seus descendentes, inclusive no Brasil, foram convidados  a retornar à Ucrânia para ensinar novamente a arte da pêssanka.",-,-,Reconhecida pela Unesco como Patrimômio Cultural Imaterial da Humanidade em 2024,-,-,-,-,Tradição Ucraniana,,Não,,,,
Portal Caminho do Vinho,Volume I,115,71,2,3,14,Atrativos Histórico-Culturais,Arte e Artesanato,"R. Júlio César Setenareski, 1006",Colônia Mergulhão,83085-290,"-25.572019270576828, -49.146860256125","Marco de entrada do Caminho do Vinho, o famoso roteiro turístico conhecido pelos vinhos e pela gastronomia, localizado na Colônia Mergulhão. Foi construído em reconhecimento à contribuição dos imigrantes italianos para o desenvolvimento econômico da região, por iniciativa da Associação Caminho do Vinho – Colônia Mergulhão (ACAVIM), uma associação civil sem fins lucrativos que visa promover o desenvolvimento econômico, cultural e social da região, além de preservar o patrimônio histórico e artístico local.","O arco principal e os detalhes ornamentais lembram  as vilas italianas e suas vinícolas. Na sua construção predominam  materiais locais, como a  pedra e a madeira, conferindo ao  portal um aspecto rústico e autêntico, harmonizado com a paisagem.  O portal construído em alvenaria possui os dizeres em italiano: ""Bienvenuti, bem-vindo"",  ""Venite Sempre"" ou ""Volte Sempre"", escritos em uma flâmula que leva as cores da Itália: vermelho, branco e verde. Essas mesmas cores estão presentes nas luzes que iluminam o portal durante a noite. Ao atravessar o portal, os visitantes são convidados a vivenciar a cultura e a gastronomia  italiana.",Rural,,,Não,-,-,-,-,-,-,-,-,"7 Km até até o aeroporto; 6 Km até o centro; 1,6 Km até a BR 116",,-,Nas ruas laterais.,-,-,Tradição Italiana,-,Não,,,,
Portal Colônia Murici,Volume I,116,72,2,3,15,Atrativos Histórico-Culturais,Arte e Artesanato,"R. Dr. Murici, 1512",Colônia Murici,83015-290,"-25.57319676867059, -49.147073811679476","Inaugurado em 2016 em homenagem aos imigrantes poloneses, o portal é o primeiro ponto de visita para os turistas que chegam à região pela Rua Dr. Murici. Tornou-se um símbolo importante do avanço turístico e cultural da Colônia Murici, em São José dos Pinhais. O portal destaca-se pela imponência e pelos elementos culturais poloneses, como o lambrequim de madeira e o brasão da Polônia na cor amarela – cor que representa a alegria dos imigrantes poloneses no período pós-guerra.","O portal passou por uma revitalização com o objetivo de fortalecer o turismo rural e a relevância cultural do local. Essa revitalização incluiu uma minuciosa limpeza técnica e uma nova pintura.
Uma iluminação cênica foi instalada no portal, destacando seus detalhes arquitetônicos e elementos culturais, valorizando-o durante a noite.
Com sua revitalização, o portal foi consolidado como um importante cartão postal e símbolo da identidade cultural do município.",Rural,,,Não,,,,https://bit.ly/PORTALMURICISJP,,,O portal possui 14 metros de altura e 17 metros de largura e é feito de alvenaria.,,7 Km até o aeroporto; 10 Km do centro; 2 Km até a BR 116/Contorno Leste.,,2016,,,,Tradição polonesa,,Não,,,,
Portal Ivanko,Volume I,117,73,2,3,16,Atrativos Histórico-Culturais,Arte e Artesanato,"R. Carlos Kusma, 9100",Faxina,83023-400,"-25.77597962443618, -49.19200694650674","Portal rústico construído com madeiras talhadas à mão, localizado na entrada da Querência Ivankio.",,Rural,,,Não,Querência Ivankio,-,-,-,-,-,-,-,"33 Km até o aeroporto; 32 Km até o centro; 9,5 Km até a BR 376",Destaca-se a arte rustica de entalhar madeira.,,,,,Tradição Ucraniana,,Não,,,,
Portal São José dos Pinhais.,Volume I,118,74,2,3,17,Atrativos Histórico-Culturais,Arte e Artesanato,"Av. das Torres, 146-210",São Pedro,,"-25.51423820067204, -49.20159474806875","Obra do Engenheiro arquiteto Mário César Siqueira Campos, tendo como engenheiro responsável Dr. Ricardo Fedalto, construída em 1995 como um marco de transição entre Curitiba e saudação aos viajantes que por ali passam por terra ou pelo ar.","Seu formato foi inspirado nas antigas estufas européias utilizadas para o cultivo de plantas e lembra a universalidade dos povos e a integração do Mercosul,  a globalização.",Urbana,,,Não,Patrimônio Público,-,-,-,-,-,"O portal tem 12 metros de altura e trinta de diâmetro. É feito com uma viga
de concreto armado em forma circular, apoiada em quatro pontos, sobre a qual há
uma estrutura de aço em forma de cúpula.",-,6 Km até o aeroporto; 5 Km até o centro; 6 Km da BR 277,É um dos símbolos da cidade de São José dos Pinhais. O posto de gasolina e o Parque São José oferecem bons ângulos para tirar fotos do portal.,1995,Nas ruas laterais e no posto de gasolina,,A Avenida das Torres é muito movimentada. Deve-se escolher um local com segurança para parar e fotografar.,-,-,Não,-,-,-,-
Vyshyvanka - Bordados Ucranianos,Volume I,119,75,2,3,18,Atrativos Histórico-Culturais,Arte e Artesanato,Predominante da Colônia Marcelino e lojas que vendam produtos das colônias,Colônia Marcelino,,,"O bordado ucraniano é considerado um tesouro cultural, tanto por sua expressão artística quanto por ser um símbolo de identidade e unidade da Ucrânia. Suas raízes remontam ao século V a.C., quando era praticado como um ritual espiritual, no qual os bordados eram feitos para proteger as pessoas através de suas vestimentas. Com o passar do tempo, o bordado foi integrado às vestimentas cotidianas, tornando-se um elemento essencial do folclore ucraniano. Tradicionalmente, as cores e os padrões dos bordados refletem tanto o ambiente quanto a origem e a classe social de quem os confecciona. As cores predominantes são o vermelho, que simboliza amor e energia solar, e o preto, que representa a fertilidade da terra. O branco é símbolo de luz e espiritualidade; o azul, de água e frio, frequentemente o oposto do vermelho; o amarelo, de liberdade e felicidade; e o verde, a terceira cor mais popular, de crescimento da vida, juventude e força.","Além das roupas, o bordado está presente em objetos decorativos, como toalhas, almofadas e roupas de cama, integrando-se à vida doméstica como um símbolo de preservação da história, dos valores e das tradições dos descendentes ucranianos. Ele inspira novas gerações a celebrar sua ancestralidade e valorizar este rico patrimônio cultural.", -,,,,,,,,,,"A camisa Vyshyvanka é, ainda hoje, um dos itens típicos mais usados como roupa de festa, trajes patrióticos ou religiosos. Mais do que adornar, essas peças possuem um caráter de talismã, acreditando-se que protegem contra o mau-olhado e trazem sorte. Até os dias atuais, há o hábito de presentear recém-nascidos com essas peças bordadas.",,,"Dia do Vyshyvanka é celebrado na terceira quinta-feira de maio desde 2006, promovendo não apenas o legado cultural, mas também a união de ucranianos ao redor do mundo.",,,,,Tradição Ucraniana,,Não,,,,
Wicinanki e Artesanato Polonês,Volume I,120,76,2,3,19,Atrativos Histórico-Culturais,Arte e Artesanato,,,,,"O artesanato polonês é uma arte que ]e passada de geração para outra  desde a imigração, mantendo viva a cultura. Se caracteriza pela arte seculardos recortes wicinanki em papel ou tecido, flores de papel crepom, bonecas de pano, bonecas matrioskas, casinhas de pássaros e caixas  dede chá pintadas, bordados em panos de prato, panos de parede e cháles com pontos característicos do bordado polonês.","Nas toalhas e lenços são usados acabamentos como franjas e amarrações em nó, brólia ou macramê.", -,,,,,,,,,,Podem ser encontrados em lojas e feiras que vendam artesanato polonês.,,,,,,,,Tradição polonesa,,Não,,,,
,Volume I,121,,,,,,Feiras e Festas,,,,,,,,,,,,,,,,,,,,,,,,,,,Não,,,,
Casa do Papai Noel  - Natal de encanto e luz,Volume I,122,77,2,4,1,Atrativos Histórico-Culturais,Feiras e Festas,"Parque da Fonte: R. Alm. Alexandrino, 1200",,83040-420,"-25.504780834583833, -49.18127891989777","A Casa do Papai Noel, localizada no Parque da Fonte, é a casa mais iluminada da cidade durante as festividades natalinas. A casa de madeira do parque, típica da região, transforma-se juntamente  com todo o Parque da Fonte para receber o Papai Noel e seus amigos. Dentro da casa, Papai Noel e Mamãe Noel recepcionam  as crianças. O espaço é cuidadosamente preparado com luzes e uma decoração natalina encantadora, criando um ambiente mágico para celebrar o espírito do Natal.","Na cerimônia de abertura, em um momento especial, a Prefeitura entrega as chaves da cidade ao bom velhinho, dando início oficial às festividades. O evento conta com apresentações e shows para todas as idades, proporcionando diversão e alegria para várias gerações. Nos últimos anos,  mais de 100 mil pessoas vem visitando o evento.",Urbana,,,-,Patrimônio Público,-,@casadopapainoelsjp,,-,Seg a Qui: 18:30h às 22:30h; Sex a Dom: 17:30h às 22:30h,"O espaço é preparado com muitas luzes, presépio e uma árvore gigante. Há apresentação de corais,  Banda Marcial, shows musicais, apresentações de teatro e bonecos, danças, espaço Kids e praça de alimentação com diversas opções gastronômicas.",-,6 Km até o aeroporto;  5 Km até o centro; 2 Km até a 277,Não são vendidas bebidas alcoólicas.,-,Nas ruas laterais.,-,-,-,-,Não,,,,
