cpt_slug,tax_rotas_turisticas,tax_tipo_atrativo,tax_categorias_empreendimentos,pods_resumo_historico,pods_endereco_localizacao,pods_entrada,pods_horario_de_visitacao,pods_guia_necessario,pods_subtitulo_slogan,pods_endereco_completo,pods_telefone_whatsapp,pods_instagram,pods_site_oficial,pods_horario_de_funcionamento,pods_comodidades,pods_destaque_na_home,pods_data_de_inicio,pods_sobre_o_evento,pods_data_de_fim,pods_local_do_evento,pods_valor_do_ingresso,pods_link_de_inscricao_compra,pods_organizador,pods_historia_completa,post_title
atrativos,,História e Cultura,,"O artesanato polonês é uma arte que é passada de geração para outra desde a imigração, mantendo viva a cultura. Se caracteriza pela arte secular dos recortes wicinanki em papel ou tecido, flores de papel crepom, bonecas de pano, bonecas matrioskas, casinhas de pássaros e caixas de chá pintadas, bordados em panos de prato, panos de parede e cháles com pontos característicos do bordado polonês. Nas toalhas e lenços são usados acabamentos como franjas e amarrações em nó, brólia ou macramê.",,Consultar,,false,,,,,,,,,,,,,,,,,Wicinanki e Artesanato Polonês
,,,,,,Consultar,,false,,,,,,,,,,,,,,,,,Item_Sem_Nome
atrativos,,História e Cultura,,"A Casa do Papai Noel, localizada no Parque da Fonte, é a casa mais iluminada da cidade durante as festividades natalinas. A casa de madeira do parque, típica da região, transforma-se juntamente com todo o Parque da Fonte para receber o Papai Noel e seus amigos. Dentro da casa, Papai Noel e Mamãe Noel recepcionam as crianças. O espaço é cuidadosamente preparado com luzes e uma decoração natalina encantadora, criando um ambiente mágico para celebrar o espírito do Natal. Na cerimônia de abertura, em um momento especial, a Prefeitura entrega as chaves da cidade ao bom velhinho, dando início oficial às festividades. O evento conta com apresentações e shows para todas as idades, proporcionando diversão e alegria para várias gerações. Nos últimos anos, mais de 100 mil pessoas vem visitando o evento.","Parque da Fonte: R. Alm. Alexandrino, 1200",,,false,,"Parque da Fonte: R. Alm. Alexandrino, 1200, 83040-420",,@casadopapainoelsjp,,,Área Kids,,,,,,,,,,Casa do Papai Noel  Natal de encanto e luz
atrativos,,História e Cultura,,"A cavalgada é um evento exclusivo para mulheres, destacando a força e a paixão das amazonas pela atividade equestre. Além da cavalgada, a programação oferece diversas opções de lazer para toda a família. O local conta com uma ampla praça de alimentação, oferecendo diversas opções gastronômicas, além de shows e apresentações musicais e artísticas. Outro destaque do evento é o concurso para a escolha das Rainhas, Princesas, Musas e Miss Simpatia, que envolve disputas emocionantes em provas de campo e desfiles de palco. A organização também prepara um espaço kids, com brincadeiras e sorteios de brindes ao longo do evento. Geralmente a entrada para o evento é a doação de 1 kg de alimento não perecível ou 1 litro de leite ou óleo, que são destinados para ações beneficentes.","A saída geralmente acontece no Park Ball, Rua José Zancheta Filho, n.º 1.255",,,false,,"A saída geralmente acontece no Park Ball, Rua José Zancheta Filho, n.º 1.255, CEP 83042-430",,,,,"Estacionamento, Área Kids",,,,,,,,,,Cavalgada do Batom
atrativos,,História e Cultura,,"Proporciona aos munícipes e turistas um espaço organizado para a compra de produtos artesanais. A feira de artesanato visa incentivar a atividade artesanal e valorizar os artistas e produtores do município. A feira também reúne produtos feitos por grupos de artesãos locais, integrados ao Programa de Economia Solidária. São oferecidos diversos itens de vestuário, decoração, artesanato e gastronomia típica. Além de ser uma excelente oportunidade para adquirir presentes únicos e especiais, a Feira de Inverno de São José dos Pinhais proporciona um ambiente acolhedor e familiar. Ainda, é um incentivo para os artistas locais, pois contribui para geração de renda dos participantes e valoriza a cultura do município.",Na rua XV e na Praça 8 de Janeiro,Consultar,,false,,Na rua XV e na Praça 8 de Janeiro,,,,,Estacionamento,,,,,,,,,,Feira de Artesanato
atrativos,Rota das Colônias,História e Cultura,,"Este é um evento de agradecimento e comemoração da safra dos bons frutos da terra iniciados pelos imigrantes poloneses. É realizada todos os anos pelos produtores para agradecer a Deus a safra do ano anterior. Há um desfile com carros alegóricos, mostrando todas as fases do plantio à colheita e missa na igreja Sagrado Coração de Jesus, cujo altar é previamente ornamentado com sementes, grãos, frutas e vegetais cultivados na região. Atualmente, o evento é também uma homenagem aos imigrantes poloneses e italianos e seus descendentes, que contribuem para o desenvolvimento da agricultura regional e para o abastecimento em Curitiba e Região Metropolitana com diversos produtos agrícolas. A celebração tem início com a Missa de Ação de Graças pela Colheita. Em seguida, é realizado o desfile temático e histórico, relembrando as tradições e a história dos povos que contribuíram significativamente para a formação da região. Em seguida ocorre o almoço, com pratos típicos da culinária polonesa e italiana, incluindo pierogue, risoto, churrasco e costela da chão, preparados com todo o cuidado e carinho pela comunidade local. E durante a tarde ocorrem apresentações de grupos folclóricos, com danças e músicas tradicionais dessas culturas.",Salão Paroquial da Colônia Murici,Consultar,,false,,Salão Paroquial da Colônia Murici,41998244101,@paroquia.scjmurici,,,,,,,,Salão Paroquial da Colônia Murici,,,,,Festa da Colheita
atrativos,,História e Cultura,,"A festividade acontece nos dias que antecedem o dia 19 de março e culmina no dia dia do padroeiro da cidade, São José. Durante o evento, diversas atividades são realizadas, como o tradicional bolo de 20 metros, camarim de pintura, apresentação de bonecos gigantes, corrida de meia maratona e shows com artistas locais e nacionais. No dia 19, uma missa especial é celebrada na Catedral em honra a São José, reunindo centenas de fiéis em um momento de comunhão e bênçãos para São José dos Pinhais. Dia de São José: Dia 19 de março.",Catedral de São José Praça Getúlio Vargas,,,false,,Catedral de São José Praça Getúlio Vargas,,,,,,,,,,Catedral de São José Praça Getúlio Vargas,,,,,Festa de São José
atrativos,Rota das Colônias,História e Cultura,,"O evento, realizado na última semana de janeiro na Colônia Marcelino, celebra o encerramento da safra do trigo e dá graças à Deus pela boa colheita. Criado pelos imigrantes ucranianos pioneiros no Brasil, preserva o costume de seu país de origem ao comemorar a colheita durante o verão. A festa oferece uma variedade de pratos típicos, permitindo que os participantes saboreiem delícias tradicionais como kutiá (doce de grãos de trigo cozido ao leite), perohê (pastel cozido), holuptsi (charuto de repolho), churrasco, dentre outros. Além das opções gastronômicas, a festa inclui a venda de artesanato típico ucraniano, como pêssanka (ovos de galinha decorados à mão), louças e bordados. Apoiada pela Prefeitura, a festividade integra o calendário oficial do município e é um dos eventos mais aguardados por moradores e visitantes. A programação começa às 10h com uma missa especial, seguido do almoço, sendo um exemplo de organização colaborativa de evento em um ambiente familiar, respeitoso, que celebra a cultura e a tradição ucraniana. A tarde há apresentações folclóricas dos grupos Soloveico (da própria colônia), Wawel (da Colônia Murici) e outros shows musicais.","Igreja Santíssima Trindade (Rua Vereador Domingos Benvenuto Moletta, s/nº – Colônia Marcelino.",,,false,,"Igreja Santíssima Trindade (Rua Vereador Domingos Benvenuto Moletta, s/nº – Colônia Marcelino. CEP: 83800-000",,,,,Estacionamento,,,,,,,,,,Festa do Trigo
atrativos,Caminho do Vinho,História e Cultura,,"O evento geralmente é realizado entre agosto e setembro e conta com atrações culturais e gastronômica que movimentam o Caminho do Vinho. O público pode desfrutar de shows e apresentações de artistas locais, grupos de dança folclórica, ampla variedade de pratos típicos italianos, com destaque para a degustação de vinhos artesanais, e ainda a tradicional distribuição da polenta de 17 metros. A festa integra o calendário oficial do município. Ocorre entre agosto e setembro","Parque do Vinho Rua Júlio César Setenareski, n.º 150 Colônia Mergulhão",Gratuita,,false,,"Parque do Vinho Rua Júlio César Setenareski, n.º 150 Colônia Mergulhão, CEP 83085-290",,,,,,,,"A entrada para o evento geralmente é dada em contrapartida a uma doação de alimento não perecível ou leite, que são destinados no será gratuita, mas é solicitada a doação de 1 kg de alimento que são destinados às famílias em situação de vulnerabilidade do município.",,,,,,,Festa do Vinho
atrativos,,História e Cultura,,"Foi criado com o objetivo de homenagear o município de São José dos Pinhais, o pinhão e o Pinheiro do Paraná e também de apresentar os empreendimentos das Colônias, ajudando a promover o turismo rural através da gastronomia, artesanato e experiências, tendo como ator principal o pinhão. Além de uma gastronomia criativa e inovadora, integram a programação do festival a exposição e venda de artesanatos produzidos pelas colônias, música e dança, com apresentações culturais de grupos de dança folclóricas e bandas regionais além de atividades recreativas, com jogos e atividades para todas as idades. Acontece geralmente em julho, no inverno época de colheita do pinhão, chegando a reunir mais de 20 mil pessoas por noite, tanto do município quanto de outras cidades do estado e fora do estado.",Diversos lugares na cidade,,,false,,Diversos lugares na cidade,,,,,"Restaurante, Eventos",,,,,Diversos lugares na cidade,,,,,Festival do Pinhão
atrativos,,História e Cultura,,,Arquivo  Festas,Consultar,,false,,Arquivo  Festas,,,,,,,,,,Arquivo  Festas,,,,,Outras Festas I
atrativos,,História e Cultura,,,Arquivo  Festas,,,false,,Arquivo  Festas,,,,,,,,,,,,,,,Outras Festas II
,,,,,,Consultar,,false,,,,,,,,,,,,,,,,,Capa
atrativos,,História e Cultura,,"A banda tem como objetivo despertar o interesse pela música nos jovens, complementando sua formação intelectual e cultural e fortalecendo os princípios de cidadania. Criada em 1991, com a aquisição dos primeiros instrumentos de sopro e percussão pela Guarda Mirim de São José dos Pinhais, a banda é liderada pelo Maestro João Carlos Maximiano. Desde o início, destacou-se pela qualidade e disciplina, participando de inúmeras apresentações em eventos públicos oficiais do município. Ao longo dos anos, a banda conquistou diversos títulos em importantes concursos e campeonatos, incluindo o pentacampeonato paranaense infanto-juvenil, bicampeonato paranaense juvenil e sênior, e bicampeonato nacional, além de várias premiações em competições interestaduais e nacionais. A banda foi municipalizada pelo Decreto nº 657, abrindo vagas para jovens de todas as comunidades da cidade. São oferecidos cursos e oficinas de técnica instrumental para metais e percussão, além de aulas para linha de frente, corpo coreográfico e baliza, elevando o nível técnico do conjunto.","R. Veríssimo Marques, 299",,,false,,"R. Veríssimo Marques, 299, CEP 83030-700",41997679374,,,,,,,,,,,,,,Banda Guarda Mirim
atrativos,,História e Cultura,,"É o grupo musical mais antigo da Usina da Música, com mais de 30 anos de existência. Possui uma formação pouco comum no Brasil chamada “marching-band”, sendo formada por um corpo coreográfico, pelotão e sua baliza, além do pelotão de bandeiras. Reúne estudantes de música em instrumentos de metais e percussão e tem como missão promover música, dança e civismo. Participa de campeonatos estaduais e nacionais.","R. Veríssimo Marques, 299",Consultar,,false,,"R. Veríssimo Marques, 299, CEP: 83030-700",41997679374,@bandamarcialsjp,,,,,,,,,,,,,Banda Marcial de São José dos Pinhais
atrativos,Caminho do Vinho,História e Cultura,,"Criado por pessoas que tinham interesse em manter a cultura dos antepassados, aprendem a língua italiana e também gostavam de cantar. O nome foi dado em homenagem ao Monte Belvedere na Itália e significa ""Boa Vista"" em italiano. O coral mantém viva a tradição e a cultura italiana e participa de várias apresentações em eventos nacionais e festivais.","Ensaios acontecem na Capela Nossa Senhora Imaculada Conceição, R. Júlio César Setenareski, 2671",,,false,,"Ensaios acontecem na Capela Nossa Senhora Imaculada Conceição, R. Júlio César Setenareski, 2671",41996096105,,www.caminhodovinho.tur.br,,,,,,,,,,,,Coral Belvedere
atrativos,Caminho do Vinho,História e Cultura,,"Criado com o propósito de manter viva a tradição italiana entre as novas gerações de descendentes de imigrantes; realiza apresentações de danças folclóricas acompanhadas por músicas típicas dentro e fora do estado do Paraná. Sob a coordenação de Marina Pissaia, ex-bailarina e responsável técnica da vinícula Cantina della Mamma, o Cuore d’Italia colabora com outras organizações culturais e educacionais para promover o intercâmbio cultural. O Cuore D’Italia faz parte do patrimônio imaterial da cidade. Seus membros utilizam trajes que são réplicas autênticas dos trajes regionais italianos, refletindo a rica diversidade cultural da Itália.","R. Júlio César Setenareski, 2900 O grupo ensaia na Cantina D´Ella Mamma.",,,false,,"R. Júlio César Setenareski, 2900 O grupo ensaia na Cantina D´Ella Mamma., CEP: 83085-290",41999498140,,www.caminhodovinho.tur.br,,Eventos,,,,,,,,,,Grupo Folclórico Cuore D´Itália
atrativos,,,,"Criado com a missão de garantir, resgatar e manter a cultura trazida pelos imigrantes poloneses no Brasil, mostrando sua diversidade cultural nas danças, no artesanato e na gastronomia. Foi fundado no ano de 1970, com o incentivo das irmãs da Sagrada Família, ensaiando cantos folclóricos e peças teatrais.","Salão da Paróquia Sagrado Coração de Jesus R. Dr. Murici, 8730",,,false,,"Salão da Paróquia Sagrado Coração de Jesus R. Dr. Murici, 8730, CEP 83015-290",41991097606,@wawelfolclorepolones/; @www.facebook.com/grupowawel,,,,,,,,,,,,,Grupo Folclórico Polonês Wawel
atrativos,Rota das Colônias,História e Cultura,,"O grupo tem sua origem na década de 1960, quando foi fundado pela jovem Irmã Eutêmia Royk da Congregação das Irmãs Servas de Maria Imaculada para preservar as tradições ucranianas na colônia. Após interrupções, o grupo foi revitalizado e nomeado ""Soloveiko"", rouxinol em ucraniano, estreando em 1994 no 28º Festival do Trigo, com apoio da Secretaria de Indústria, Comércio e Turismo, do Conselho da Igreja Santíssima Trindade e da comunidade. O nome ""Soloveiko"" foi escolhido em homenagem a um pássaro típico da Ucrânia, conhecido por seu canto belo e alegre, que simboliza a capacidade das músicas ucranianas de encantar o público com seus ritmos variados, ora lentos, ora vertiginosos.","Ensaios acontecem no Salão Paroquial da Igreja Ucraniana da Santíssima Trindade Rua Domingos Benvenuto Moletta, 16.100",Consultar,,true,,,41996396508,@gruposoloveiko,,,Estacionamento,,,,,,,,,,Grupo Folclórico Soloveico
empreendimentos,,,"Restaurantes, Bares e Cafés",,,Consultar,,false,,,,,,,,,,,,,,,,,Capa
atrativos,Rota das Colônias,História e Cultura,,"Essa receita vem das práticas de conservação de alimentos dos caçadores poloneses. É um símbolo da cozinha polonesa. Também conhecido como ""guisado de repolho"", o bigos é um prato tradicional polonês feito com chucrute (ou repolho fresco), carne (geralmente uma combinação de porco, salsicha e carne de boi) e especiarias. É cozido lentamente para intensificar os sabores. É frequentemente consumido em festas e durante o inverno. A tradição diz que deve ser servido no dia 26 de Dezembro.",Colônia Murici e em lugares que comercializam produtos coloniais,Consultar,,false,,,,,,,,,,,,,,,,,Bigos
atrativos,,História e Cultura,,"O Borscht é uma sopa tradicional da Europa Central e Oriental, especialmente popular na Ucrânia e na Rússia. Destaca-se pela cor vermelha da beterraba, seu ingrediente principal, podendo incluir repolho, cenoura, pepino, batata, cebola, tomate, cogumelos, carne e vinagre. É um alimento nutritivo e consistente, assemelha-se a um guisado e é geralmente servido quente, acompanhado de pão. O borsch pode ser preparado de diversas maneiras, inclusive frio. Tradicionalmente, cada povo tem a sua própria variação da receita.",Colônia Marcelino e em lugares que comercializam produtos coloniais,,,false,,Colônia Marcelino e em lugares que comercializam produtos coloniais,,,,,,,,,,,,,,,Borscht
atrativos,,História e Cultura,,"O holubtsi é um prato tradicional que pode ser preparado de várias formas, dependendo da região. Também conhecido como charuto de repolho é um prato típico ucraniano preparado com folhas de repolho recheadas com carne, arroz, trigo-sarraceno, cebola, cenoura e temperos. O prato é cozido com molho ou suco de tomate ou macarrão. Em vez de carne, pode ser usado batatas, cogumelos ou feijão.",Colônia Marcelino,,,false,,Colônia Marcelino,,,,,,,,,,,,,,,Holuptzi
atrativos,,História e Cultura,,"É um alimento simbólico, tradicionalmente servido durante a Ceia de Natal Ucraniana. A kutia é um prato doce feito com grãos de trigo cozidos, mel, nozes e, às vezes, frutas secas. Representa prosperidade e a conexão com os ancestrais. A kutia é uma parte importante das celebrações e é frequentemente acompanhada de bênçãos. Uma receita adaptada pode ser feita com trigo em semente sem casca e cozido, leite, leite condensado, creme de leite, côco, amendoim e passas.",Colônia Marcelino,Consultar,,false,,Colônia Marcelino,,,,,,,,,,,,,,,Kutiá
atrativos,Rota das Colônias,História e Cultura,,"O paczki são parecidos com os sonhos no Brasil. Esse tradicional pãozinho é coberto com açúcar e recheado com os mais diversos sabores, sendo o morango o recheio mais comum. Os Ponczki são parecidas a rosquinhas ou sonhos. E um alimento tradicionalmente consumido na 5a feira antes da Páscoa.","Colônia Murici, e lojas de doces poloneses",,,false,,,,,,,,,,,,,,,,,Paczki
atrativos,,História e Cultura,,"Pyrizhky são pãezinhos recheados que fazem parte do patrimônio culinário da Ucrânia, refletindo sua história e cultura. Eles são preparados durante todo o ano, com recheios que variam conforme a estação, podendo incluir desde purê de batatas até combinações mais inusitadas. Nas variedades salgadas, podem ser recheados com carne moída, cogumelos, ovo cozido com cebolinha ou repolho. Já nas receitas doces, o pyrizhky pode ser feito com frutas como maçã, cereja, damasco, limão ou geleias. Além de versáteis, servindo tanto para ocasiões especiais quanto para refeições simples, os pyrizhky são práticos para viagens e piqueniques, além de acompanharem bem sopas ou aperitivos. As receitas são transmitidas de geração em geração, e cada família tem sua versão especial para a massa e os recheios, tornando esse prato único e repleto de significados.",Colônia Marcelino,,,false,,Colônia Marcelino,,,,,,,,,,,,,,,Pyrizhky
atrativos,Rota das Colônias,História e Cultura,,"Pierogi é uma espécie de pastel cozido recheado com diversos tipos de ingredientes tais como ricota, carne de porco, frango, linguiça e repolho azedo, entre outros. Os recheio de ricota ou batata são os mais tradicionais.",Colônia Murici,,,false,,,,,,,,,,,,,,,,,Pierogi
atrativos,,História e Cultura,,"Comida tradicional ucraniana, frequentemente preparada para festas e reuniões familiares. Se assemelham ao pierogui polonês, pois são pastéis recheados, que podem ser preparados com uma variedade de recheios, incluindo batata, repolho, queijo e frutas (como cerejas ou mirtilos). Geralmente são cozidos e podem ser servidos com manteiga, cebolas e bacon ou creme azedo. A versão doce de varenyky é geralmente servido com creme de leite e mel. A palavra “perohe” significa pastel em ucraniano, enquanto “vareneke” significa “massa recheada”. Ambos os nomes são usados. O primeiro é mais usado no oeste da Ucrânia e o segundo é mais ao leste.",Colônia Marcelino,,,false,,Colônia Marcelino,,,,,,,,,,,,,,,Varéneke ou perohé
atrativos,,História e Cultura,,,,,,false,,,,,,,,,,,,,,,,,Capa
atrativos,Rota das Colônias,História e Cultura,,"Caminho de pedra que ligava o Planalto de Curitiba ao Litoral, passando por São José dos Pinhais. Datado do século XVIII. Há referência que indicam que a região sudeste de São José dos Pinhais (possivelmente áreas que hoje são próximas da Colônia Murici ou regiões cortadas pela BR-277) integravam esse antigo trajeto. Historiadores supôem que ele tenha sito aberto entre 1580 e 1600.",Serra da Graciosa (Pilão de Pedra e em outros locais no município),,,false,,Serra da Graciosa (Pilão de Pedra e em outros locais no município),,,,,,,,,,,,,,,Caminho do Arraial
atrativos,,História e Cultura,,"Antiga trilha histórica que ligava o litoral norte de Santa Catarina ao planalto paranaense, mais especificamente de São Francisco do Sul (SC) à Curitiba. Estima-se que a trilha tenha sido usada por 350 anos por indígenas, desbravadores, colonizadores e mascates. É associada a lendas e histórias locais. A trilha desempenhou um papel crucial na integração comercial e na colonização da região sul do Brasil. Atualmente, encontra-se em estado de abandono em muitos trechos, mas ainda preserva vestígios, como calçamento de pedras e valas em alguns pontos. Existe uma proposta de revitalização para resgatar sua memória e transformá-la em um atrativo de ecoturismo, promovendo a preservação ambiental e o desenvolvimento sustentável das comunidades locais.","Caminho Originario na atual BR376 subindo de Joinvile, Santa Catarina, Atual rua Antonio Singer e Isaura Ravaglio da Rocha",,,false,"Possível origem do nome: a planta ambrósia, encontrada no caminho e associada à flora portuguesa, ou a um antigo morador da região chamado Ambrósio. Ambas aparecem em registros históricos e na tradição oral.","Caminho Originario na atual BR376 subindo de Joinvile, Santa Catarina, Atual rua Antonio Singer e Isaura Ravaglio da Rocha",,,,,,,,,,,,,,,Caminho dos Ambrosios
atrativos,Rota das Colônias,História e Cultura,,"Criada em 2006 no prédio da primeira escola local, a Casa da Cultura Padre Karol Dworaczek oferece um mergulho na rica história e cultura polonesa. A casa busca resgatar e valorizar a contribuição dos imigrantes poloneses para a cidade. A casa pertenceu às irmãs da Sagrada Família. Antigo Colégio das Irmãs. O acervo diversificado inclui utensílios domésticos, equipamentos agrários usados pelos primeiros colonos e uma biblioteca comunitária. Oferece visitas guiadas e palestras.","R. João Lipinski, 1001",Consultar,,true,,"R. João Lipinski, 1001, CEP 83085-220",4136351545,,,,"Estacionamento, Acessibilidade, Visita Guiada",,,,,,,,,,Casa da Cultura Polonesa
atrativos,,História e Cultura,,"Complexo cultural, tambem conhecido como centro João Senegaglia, por estar instalado no prédio de 1904 onde funcionou a Fábrica Metalúrgica Senegaglia, primeira indústria do município. É uma instituição dedicada à promover a cultura, arte e educação. Abriga o Espaço João Senegáglia, Museu do Boneco Animado, Galeria Municipal de Artes, oficina de bonecos, Escola e Secretaria de Cultura, sala de apresentação, sala de acervo dos bonecos, sala de aula de teatro da Escola de Cultura.","Rua XV de Novembro, 1800",,,false,,"Rua XV de Novembro, 1800, CEP 83005-010",4133815917,,,,,,,,,,,,,,Centro  Cultural João Senegaglia
atrativos,Ciclotur,História e Cultura,,"A estrutura em ruínas abriga 40 fornos de formato arredondado, anteriormente utilizados na queima de madeira para a produção de carvão vegetal. Dispostos em duas filas paralelas, os fornos podem ser facilmente identificados por imagens de satélite. O local integra a rota de ciclistas, porém, devido ao estado de abandono e aos frequentes atos de depredação, a visitação encontra-se atualmente restrita. Os Forninhos da Papanduva da Serra formam parte da historia das colônias quando ainda não havia nem gás nem energia eletrica, e as florestas de lenha começavam a diminuir. O proprietário tem planos de tranformar o local em um atrativo turístico.",Fazenda Catas Altas Propriedade privada,,,true,,Fazenda Catas Altas Propriedade privada,41999152211,,,,,,,,,,,,,,Fornos da Fazenda Catas Altas
atrativos,,História e Cultura,,"Foi o primeiro museu no gênero no Brasil. Iniciou suas atividades em 2000 como o objetivo de difundir a cultura bonequeira no município. Seu acervo inicial foi formado a partir de oficinas ministradas para a comunidade e por doações de bonequeiro brasileiros. Hoje, seu principal objetivo é proporcionar à população experiências lúdicas educacionais e conservar o patrimônio artístico local. Seu público é variado, sendo composto por estudantes, moradores da cidade e turistas. Conta com a parceria da Oficina de Bonecos que, além de desenvolver atividades conjuntas, restaura e dá manutenção nos bonecos e cria espetáculos, incluindo a produção do Carnaval de Bonecos de São José dos Pinhais que já se tornou uma tradição no calendário do Paraná.","Centro de Vivências Cultural João Senegaglia Rua XV, 1820",Consultar,,true,,"Centro de Vivências Cultural João Senegaglia Rua XV, 1820, CEP: 83015-140",4133815901,,https://www.sjp.pr.gov.br,,"Acessibilidade, Estacionamento",,,,,,,,,,Museu do Boneco Animado
atrativos,,História e Cultura,,"A sede atual é um edifício histórico, construção em alvenaria de dois pisos, de linha arquitetônica eclética, que anteriormente abrigou simultaneamente os poderes Executivo, Legislativo e Judiciário. O Museu Municipal Atílio Rocco foi criado pela lei 34/77, de 19 de setembro de 1977, e denominado pelo decreto 35/81, de 27/2/1981. Idealizado pelo Sr. Ernani Zétona, concretizou-se graças ao empenho do Lions Clube de São José dos Pinhais.","Rua XV de Novembro, 1660",,,true,,"Rua XV de Novembro, 1660, CEP 83005-000",4133815900,https://linktr.ee/museu.atilio.rocco,,,"Estacionamento, Visita Guiada",,,,,,,,,,Museu Municipal Atílio Rocco
atrativos,Rota das Colônias,História e Cultura,,"Ao lado da estrada, aproximando-se do lago da propriedade, onde hoje são vistas uma pequena barragem e um canal com água corrente, havia o maior moinho de trigo e centeio da colônia Marcelino, pertencente à família do Sr. Albert Inkot. O moinho foi de extrema importância para os colonos na época pois tinha como principal função a moagem de trigo, transformando-o em farinha, que era essencial para a produção de pão e outros produtos alimentícios. A moagem era uma atividade vital para a comunidades especialmente em um período em que a autossuficiência alimentar era uma prioridade.","R. Ver. Benvenutto Moletta, na Chácara Ienkot, próximo à lagoa, avista-se os canais de água corrente.",,,false,"História do Trigo e da Cultura Ucraniana, Local de beleza cênica para ser apreciado, especialmente nas primeiras horas do dia ou final de tarde.","R. Ver. Benvenutto Moletta, na Chácara Ienkot, próximo à lagoa, avista-se os canais de água corrente.",,,,,Estacionamento,,,,,,,,,,Ruínas do Moinho Ienkot
atrativos,,Patrimônio Tombado,,Neste sítido foram encontradas ferramentas de pedras usadas pelos primeiros ocupantes da região. Sua importância é justificada pela sua antigüidade e pelo grau de preservação dos materiais que alí foram encontrados.,Perto do Rio Pequeno na tripla divisa com Piraquara e Morretes,,,false,,,,,,,,,,,,,,,,,Sítio arqueológico Céu Azul
atrativos,,Patrimônio Tombado,,"Trata-se de um sítio lítico, local onde predominam artefatos de pedra, como pontas de flecha, lascas, núcleos, raspadores, percutores e lâminas. Sua relevância é reconhecida por seu excelente estado de preservação e por sua contribuição essencial ao estudo do povoamento pré-histórico das terras altas do sul do Brasil. No local foram identificados instrumentos confeccionados em quartzo e outras rochas, indicando a presença de antigos acampamentos de caçadores-coletores. As escavações, coordenadas pelo Museu de Arqueologia e Etnologia da USP, utilizaram métodos estratigráficos e tipológicos, revelando dados importantes sobre a mobilidade, a tecnologia lítica e a adaptação ambiental dos primeiros habitantes da região. É considerado um dos mais antigos do planalto de Curitiba, com vestígios de ocupação humana datados de mais de 5.000 anos.",Na Barragem Miringuava,,,false,,Na Barragem Miringuava,,,,,,,,,,,,,,,Sítio arqueológico João Bueno
atrativos,,Turismo Religioso,,,,,,false,,,,,,,,,,,,,,,,,Capa
atrativos,,Patrimônio Cultural,,"Construída pela família Morenda por volta de 1920. Construção em alvenaria com cobertura em telha, de um único pavimento, sofreu alterações na construção original. Mantém o piso original. Foi colocada uma imagem do Senhor Bom Jesus doada por um casal de imigrantes italianos para afugentar a assombração que alí aparecia. Essa igreja lembra a antiga tradição religiosa dos sãojoeenses. Sua revitalização foi finalizada e entregue à população em 2018. Tombada como patrimônio cultural do município pelo Decreto 125/82. O proprietário do terreno, João Marenda, resolveu erguer uma gruta para abrigar a imagem. A gruta foi substituída por uma capela de alvenaria com doações da comunidade. A imagem original também foi substituída. O piso permanece original. A árvore mal assombrada era uma caingá (Moldenhawera floribunda), apreciada por sua madeira e propriedades medicinais. Em 1908 um raio atingiu a árvore. A imagem caiu no chão e permaneceu intacta.",Rua Barão do Serro Azul Esquina com Rua Etore Morenda.,,,false,,"Rua Barão do Serro Azul Esquina com Rua Etore Morenda., CEP: 83025-190",,,https://bomjesussjp.com.br/a-capelinha/,,Estacionamento,,,,,,,,,,Capelinha Bom Jesus
atrativos,Caminho do Vinho,Turismo Religioso,,"Esta singela capelinha foi construída em alvenaria pelo italiano José Moro Filho em 1949 e é dedicada à Nossa Senhora das Graças. Possui interessante formato de cone, não possui torre ou sino, apenas uma pequena cruz em sua cobertura. Restaurada em 1992 e tombada pelo Decreto Municipal 125/85. É um local singelo. Visitá-lo é como uma viagem no tempo. Um refúgio tranquilo que convida os visitantes a contemplarem a si mesmos e à serenidade que a natureza proporciona.",O inicio da escadaria que leva à capelinha fica quase em frente ao Centro Catequético Lúcia Buganicho / Capela Nossa Sra das Graças e São José Rua Izaura Ravaglio da Rocha proximo do entroncamento com a Alameda Boa Esperança.,Consultar,,true,,O inicio da escadaria que leva à capelinha fica quase em frente ao Centro Catequético Lúcia Buganicho / Capela Nossa Sra das Graças e São José Rua Izaura Ravaglio da Rocha proximo do entroncamento com a Alameda Boa Esperança.,,,,,Estacionamento,,,,,,,,,,Capelinha N. Sra. das Graças Alto Boa Vista
atrativos,,Turismo Religioso,,"Fundada em 1986, no lugar da capela atual havia uma antiga capela de madeira.","Av. Max Brose, S/N, após o último estacionamento da Brose do Brasil. Essa pequena avenida fica ao lado da Av. Voksvagen Audi, próximo da marginal da BR 376.",,,false,,"Av. Max Brose, S/N, após o último estacionamento da Brose do Brasil. Essa pequena avenida fica ao lado da Av. Voksvagen Audi, próximo da marginal da BR 376. CEP: 83090-670",,,,,,,,,,,,,,,Capela N. Sra. das Graças
atrativos,Caminho do Vinho,Turismo Religioso,,"Capela localizada no Caminho do Vinho, organiza várias atividades em prol da comunidade e apoia iniciativas tais como a Caminhada da Natureza. É uma igreja bastante presente na história da região. Além de local de encontro de devotos e fiéis da comunidade, é um local que atrai o turismo religioso.","R. Júlio César Setenareski, 2671",,,false,,"R. Júlio César Setenareski, 2671, CEP 83085-290",,,,,,,,,,,,,,,Capela N. Sra. da Imaculada Conceição
